freq,psd_x,psd_y,psd_z,psd_xyz,zv(46.2),mzv(28.8),ei(39.6),2hump_ei(39.2),3hump_ei(48.0)
187.8,2.788e-01,4.405e-01,7.145e-01,1.434e+00,0.639,0.194,0.159,0.076,0.181
189.3,2.471e-01,5.603e-01,6.793e-01,1.487e+00,0.633,0.193,0.155,0.075,0.184
190.8,2.015e-01,4.017e-01,4.794e-01,1.083e+00,0.626,0.193,0.152,0.074,0.184
192.3,2.222e-01,2.434e-01,2.819e-01,7.476e-01,0.617,0.193,0.150,0.073,0.182
193.8,2.862e-01,2.939e-01,2.607e-01,8.408e-01,0.607,0.193,0.148,0.073,0.179
195.3,2.837e-01,3.188e-01,2.573e-01,8.598e-01,0.595,0.194,0.147,0.072,0.174
196.9,2.299e-01,3.060e-01,2.756e-01,8.115e-01,0.583,0.196,0.146,0.073,0.167
198.4,2.931e-01,2.741e-01,2.909e-01,8.581e-01,0.569,0.197,0.147,0.073,0.158
199.9,4.078e-01,1.972e-01,3.467e-01,9.518e-01,0.554,0.200,0.147,0.074,0.149
201.4,5.597e-01,1.827e-01,3.813e-01,1.124e+00,0.538,0.202,0.148,0.075,0.139
